city,year, pm10, so2, no2, co, avg_dust, rain_ph, acid_freq, o3, pm25
玉溪,2004,0.083 ,0.034 ,0.011 , ,4.48 ,6.39 , , , 
玉溪,2005,0.072 ,0.045 ,0.012 , , , , , , 
玉溪,2007,0.065 ,0.039 ,0.016 , ,5.35 , , , , 
玉溪,2008,0.071 ,0.039 ,0.018 , , , , , , 
玉溪,2009,0.085 ,0.059 ,0.019 , , , , , , 
玉溪,2010,0.079 ,0.059 ,0.025 , , , , , , 
玉溪,2011,0.059 ,0.046 ,0.016 , , , , , , 
玉溪,2012,0.066 ,0.05 ,0.017 , , , , , , 
红河,2004, , , , , , ,27.4 , , 
红河,2005, , , , , , , , , 
红河,2006, , , , , , , , , 
红河,2007, , , , , , , , , 
红河,2008, , , , , , , , , 
红河,2009, , , , , , , , , 
红河,2010, , , , , , , , , 
红河,2011, , , , ,5.5 ,6.36 ,7.7 , , 
红河,2012,0.047 ,0.029 ,0.013 , , , , , , 
红河,2013, , , , , , , , , 
文山,2004,0.078 , , , , , , , , 
文山,2005, , , , , , , , , 
文山,2009,0.049 ,0.007 ,0.012 , , , , , , 
文山,2010,0.054 ,0.014 ,0.011 , , , , , , 
文山,2012,0.052 ,0.019 ,0.013 , , , , , , 
文山,2013,0.048 ,0.021 ,0.016 , , , ,0 , , 
西双版纳,2004, , , , , , , , , 
西双版纳,2005, , , , , , , , , 
西双版纳,2007, , , , , , , , , 
西双版纳,2009, , , , , , , , , 
西双版纳,2012,0.055 ,0.016 ,0.017 , , , , , , 
怒江,2004, , , , , , , , , 
怒江,2005, , , , , , , , , 
怒江,2012,0.042 ,0.007 ,0.012 , , , , , , 
昭通,2004, , , , , ,4.96 ,52.4 , , 
昭通,2005, , , , , , , , , 
昭通,2009,0.028 ,0.072 ,0.025 , , , , , , 
昭通,2010,0.048 ,0.082 ,0.021 , , , , , , 
昭通,2012,0.037 ,0.045 ,0.029 , , , , , , 
九江,2004, , , , , , , , , 
九江,2005,0.09 ,0.072 ,0.037 , , ,5.17 ,43.1 , , 
九江,2006, , , , , , , , , 
九江,2007,0.079 ,0.049 ,0.024 , ,6.26 ,5.73 ,27.2 , , 
九江,2008,0.078 ,0.039 ,0.022 , , , , , , 
九江,2009, , , , , ,5.39 ,22.1 , , 
九江,2010,0.064 ,0.032 ,0.024 , ,5.25 ,5.57 ,20.7 , , 
九江,2011,0.068 ,0.029 ,0.019 , , , , , , 
九江,2012,0.062 ,0.028 ,0.026 , , , , , , 
上饶,2004,0.087 ,0.041 ,0.019 , , , , , , 
上饶,2005,0.065 ,0.043 ,0.021 , , ,4.41 ,94.6 , , 
上饶,2006, , , , , ,4.66 ,95.1 , , 
上饶,2007,0.053 ,0.038 ,0.026 , , ,4.7 ,96.7 , , 
上饶,2008,0.051 ,0.045 ,0.039 , , ,5.08 ,100 , , 
上饶,2009,0.053 ,0.037 ,0.026 , , , , , , 
上饶,2010,0.058 ,0.04 ,0.03 , , , , , , 
上饶,2012,0.057 ,0.046 ,0.029 , , , , , , 
景德镇,2004, , , , , , , , , 
景德镇,2005, , , , , , , , , 
景德镇,2009,0.057 ,0.013 ,0.019 , , , , , , 
景德镇,2010,0.064 ,0.02 ,0.023 , , , , , , 
景德镇,2012,0.065 ,0.018 ,0.02 , , , , , , 
南昌,2004,0.099 ,0.057 ,0.029 , ,12.49 , , , , 
南昌,2005,0.089 ,0.05 ,0.031 , ,8.89 , , , , 
南昌,2006, , , , , , , , , 
南昌,2007,0.083 ,0.054 ,0.034 , ,8.5 , , , , 
南昌,2008,0.084 ,0.05 ,0.036 , ,8.39 , , , , 
南昌,2009,0.079 ,0.054 ,0.037 , , , , , , 
南昌,2010,0.087 ,0.055 ,0.042 , ,6.2 , , , , 
南昌,2011,0.09 ,0.055 ,0.037 , , , , , , 
南昌,2012,0.088 ,0.045 ,0.039 , , , , , , 
南昌,2013,0.116 ,0.04 ,0.04 , ,9.1 , , , ,0.069 
宜春,2004, , , , , , , , , 
宜春,2005, , , , , , , , , 
宜春,2006, , , , , , , , , 
宜春,2007, , , , , , , , , 
宜春,2009,0.063 ,0.029 ,0.027 , , , , , , 
宜春,2010,0.059 ,0.028 ,0.028 , , , , , , 
宜春,2012,0.063 ,0.025 ,0.022 , , , , , , 
鹰潭,2004, , , , , , , , , 
鹰潭,2005, , , , , , , , , 
鹰潭,2007,0.035 ,0.052 ,0.036 , , ,4.15 ,86.4 , , 
鹰潭,2008,0.052 ,0.043 ,0.028 , , ,4.06 ,95.6 , , 
鹰潭,2009,0.055 ,0.038 ,0.031 , , ,4.54 ,93.8 , , 
鹰潭,2010,0.058 ,0.036 ,0.045 , , ,4.42 ,96.2 , , 
鹰潭,2011,0.077 ,0.044 ,0.024 , , ,4.38 ,87.2 , , 
鹰潭,2012,0.07 ,0.026 ,0.048 , , , , , , 
宜宾,2004,0.136 ,0.156 ,0.044 , , , , , , 
宜宾,2005,0.106 ,0.075 ,0.043 , , , , , , 
宜宾,2006, , , , , , , , , 
宜宾,2007,0.09 ,0.061 ,0.035 , , , , , , 
宜宾,2008,0.085 ,0.073 ,0.029 , , , , , , 
宜宾,2009,0.072 ,0.062 ,0.03 , , , , , , 
宜宾,2010,0.078 ,0.055 ,0.035 , , , , , , 
宜宾,2011,0.069 ,0.059 ,0.037 , , , , , , 
宜宾,2012,0.081 ,0.048 ,0.027 , , , , , , 
新余,2004, , , , , , , , , 
新余,2005, , , , , , , , , 
新余,2007, , , , , , , , , 
新余,2008,0.079 ,0.035 ,0.032 , , ,5.28 ,26.1 , , 
新余,2009, , , , , ,4.94 , , , 
新余,2010,0.077 ,0.035 ,0.021 , , , , , , 
新余,2012,0.057 ,0.025 ,0.023 , , , , , , 
吉安,2004, , , , , , , , , 
吉安,2005, , , , , , , , , 
吉安,2009,0.058 ,0.03 ,0.022 , , , , , , 
吉安,2010,0.072 ,0.035 ,0.028 , , , , , , 
吉安,2012,0.062 ,0.031 ,0.027 , , , , , , 
乐山,2004, , , , , , , , , 
乐山,2005, , , , , , , , , 
乐山,2009,0.068 ,0.029 ,0.029 , , , , , , 
乐山,2010,0.079 ,0.027 ,0.028 , , , , , , 
乐山,2011, , , , , , , , , 
乐山,2012,0.08 ,0.036 ,0.039 , , ,5.73 ,23.6 , , 
乐山,2013, , , , , , , , , 
内江,2004, , , , , , , , , 
内江,2005, , , , , , , , , 
内江,2009,0.053 ,0.048 ,0.029 , , , , , , 
内江,2010,0.052 ,0.051 ,0.037 , , , , , , 
内江,2011, , , , , , , , , 
内江,2012,0.105 ,0.039 ,0.028 , , , , , , 
内江,2013,0.111 ,0.036 ,0.03 , , ,6.45 ,2.9 , , 
泸州,2004,0.14 ,0.05 ,0.025 , , , , , , 
泸州,2005,0.124 ,0.056 ,0.024 , , ,5.9 ,11.1 , , 
泸州,2006, , , , , , , , , 
泸州,2007,0.118 ,0.068 ,0.04 , , , , , , 
泸州,2008,0.082 ,0.074 ,0.035 , , , , , , 
泸州,2009,0.072 ,0.059 ,0.04 , , , , , , 
泸州,2010,0.086 ,0.051 ,0.049 , , , , , , 
泸州,2011,0.097 ,0.051 ,0.047 , , , , , , 
泸州,2012,0.087 ,0.048 ,0.041 , , , , , , 
泸州,2013, , , , , , , , , 
雅安,2004, , , , , , , , , 
雅安,2005, , , , , , , , , 
雅安,2009,0.05 ,0.025 ,0.022 , , , , , , 
雅安,2010,0.047 ,0.035 ,0.028 , , , , , , 
雅安,2011,0.041 ,0.033 ,0.032 , , , , , , 
雅安,2012,0.065 ,0.021 ,0.025 , , , , , , 
雅安,2013,0.07 ,0.023 ,0.026 , , , ,4 , , 
眉山,2004, , , , , , , , , 
眉山,2005, , , , , , , , , 
眉山,2009,0.085 ,0.05 ,0.046 , , , , , , 
眉山,2010,0.083 ,0.041 ,0.044 , , , , , , 
眉山,2012,0.077 ,0.037 ,0.046 , , ,6.26 ,0 , , 
眉山,2013,0.09 ,0.035 ,0.049 , , ,6.94 , , , 
资阳,2004, , , , , , , , , 
资阳,2005, , , , , , , , , 
资阳,2009,0.064 ,0.051 ,0.027 , , , , , , 
资阳,2010,0.062 ,0.046 ,0.033 , , , , , , 
资阳,2012,0.072 ,0.043 ,0.035 , , , , , , 
资阳,2013,0.063 ,0.028 ,0.025 , , , , , , 
成都,2004,0.115 ,0.067 ,0.048 , , , , , , 
成都,2005,0.12 ,0.076 ,0.051 , , , , , , 
成都,2006, , , , , , , , , 
成都,2007,0.111 ,0.062 ,0.049 , , , , , , 
成都,2008,0.111 ,0.049 ,0.052 , ,9.6 ,5.59 ,3.5 , , 
成都,2009,0.111 ,0.038 ,0.055 , , , , , , 
成都,2010,0.104 ,0.031 ,0.051 , ,11.29 ,5.84 ,8.2 , , 
成都,2011,0.11 ,0.034 ,0.048 , , , , , , 
成都,2012,0.119 ,0.033 ,0.051 , , , , , , 
成都,2013, , , , , , , , , 
兴安,2004, , , , , , , , , 
兴安,2005, , , , , , , , , 
兴安,2009, , , , , , , , , 
兴安,2012,0.037 ,0.012 ,0.009 , , , , , , 
呼伦贝尔,2004, , , , , , , , , 
呼伦贝尔,2005, , , , , , , , , 
呼伦贝尔,2006,0.068 ,0.009 , , , , , , , 
呼伦贝尔,2009,0.066 ,0.018 ,0.016 , , , , , , 
呼伦贝尔,2010,0.064 ,0.018 ,0.014 , , , , , , 
呼伦贝尔,2012,0.063 ,0.015 ,0.019 , , , , , , 
白山,2004, , , , , , , , , 
白山,2005, , , , , , , , , 
白山,2006, , , , , , , , , 
白山,2009,0.07 ,0.047 ,0.036 , , , , , , 
白山,2010,0.06 ,0.034 ,0.033 , , , , , , 
白山,2012,0.058 ,0.029 ,0.025 , , , , , , 
四平,2004, , , , , , , , , 
四平,2005, , , , , , , , , 
四平,2009,0.074 ,0.027 ,0.021 , , , , , , 
四平,2010,0.067 ,0.021 ,0.016 , , , , , , 
四平,2012,0.071 ,0.027 ,0.029 , , , , , , 
辽源,2004, , , , , , , , , 
辽源,2005, , , , , , , , , 
辽源,2009,0.093 ,0.028 ,0.028 , , , , , , 
辽源,2010,0.067 ,0.055 ,0.032 , , , , , , 
辽源,2012,0.089 ,0.036 ,0.031 , , , , , , 
濮阳,2004, , , , , , , , , 
濮阳,2005, , , , , , , , , 
濮阳,2009,0.085 ,0.041 ,0.042 , , , , , , 
濮阳,2010,0.103 ,0.041 ,0.04 , , , , , , 
濮阳,2012,0.078 ,0.06 ,0.034 , , , , , , 
安阳,2004, , , , , , ,1.39 , , 
安阳,2005,0.116 ,0.075 ,0.041 , , , , , , 
安阳,2006, , , , , , , , , 
