A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/2.html.
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/2.html applies to these and all data available from the Mission China air quality monitoring program.

Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chengdu,PM2.5,2013-01-01 00:00,2013,1,1,0,129,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-01 01:00,2013,1,1,1,135,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-01 02:00,2013,1,1,2,-999,µg/m³,1 Hr,Missing
Chengdu,PM2.5,2013-01-01 03:00,2013,1,1,3,-999,µg/m³,1 Hr,Missing
Chengdu,PM2.5,2013-01-01 04:00,2013,1,1,4,-999,µg/m³,1 Hr,Missing
Chengdu,PM2.5,2013-01-01 05:00,2013,1,1,5,-999,µg/m³,1 Hr,Missing
Chengdu,PM2.5,2013-01-01 06:00,2013,1,1,6,-999,µg/m³,1 Hr,Missing
Chengdu,PM2.5,2013-01-01 07:00,2013,1,1,7,-999,µg/m³,1 Hr,Missing
Chengdu,PM2.5,2013-01-01 08:00,2013,1,1,8,-999,µg/m³,1 Hr,Missing
Chengdu,PM2.5,2013-01-01 09:00,2013,1,1,9,-999,µg/m³,1 Hr,Missing
Chengdu,PM2.5,2013-01-01 10:00,2013,1,1,10,-999,µg/m³,1 Hr,Missing
Chengdu,PM2.5,2013-01-01 11:00,2013,1,1,11,-999,µg/m³,1 Hr,Missing
Chengdu,PM2.5,2013-01-01 12:00,2013,1,1,12,189,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-01 13:00,2013,1,1,13,132,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-01 14:00,2013,1,1,14,100,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-01 15:00,2013,1,1,15,101,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-01 16:00,2013,1,1,16,91,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-01 17:00,2013,1,1,17,95,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-01 18:00,2013,1,1,18,115,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-01 19:00,2013,1,1,19,129,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-01 20:00,2013,1,1,20,138,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-01 21:00,2013,1,1,21,159,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-01 22:00,2013,1,1,22,163,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-01 23:00,2013,1,1,23,155,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-02 00:00,2013,1,2,0,170,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-02 01:00,2013,1,2,1,193,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-02 02:00,2013,1,2,2,202,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-02 03:00,2013,1,2,3,167,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-02 04:00,2013,1,2,4,148,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-02 05:00,2013,1,2,5,144,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-02 06:00,2013,1,2,6,139,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-02 07:00,2013,1,2,7,180,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-02 08:00,2013,1,2,8,153,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-02 09:00,2013,1,2,9,161,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-02 10:00,2013,1,2,10,185,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-02 11:00,2013,1,2,11,-999,µg/m³,1 Hr,Missing
Chengdu,PM2.5,2013-01-02 12:00,2013,1,2,12,-999,µg/m³,1 Hr,Missing
Chengdu,PM2.5,2013-01-02 13:00,2013,1,2,13,-999,µg/m³,1 Hr,Missing
Chengdu,PM2.5,2013-01-02 14:00,2013,1,2,14,-999,µg/m³,1 Hr,Missing
Chengdu,PM2.5,2013-01-02 15:00,2013,1,2,15,-999,µg/m³,1 Hr,Missing
Chengdu,PM2.5,2013-01-02 16:00,2013,1,2,16,126,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-02 17:00,2013,1,2,17,113,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-02 18:00,2013,1,2,18,56,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-02 19:00,2013,1,2,19,56,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-02 20:00,2013,1,2,20,58,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-02 21:00,2013,1,2,21,67,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-02 22:00,2013,1,2,22,65,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-02 23:00,2013,1,2,23,66,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 00:00,2013,1,3,0,70,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 01:00,2013,1,3,1,66,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 02:00,2013,1,3,2,60,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 03:00,2013,1,3,3,55,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 04:00,2013,1,3,4,62,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 05:00,2013,1,3,5,61,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 06:00,2013,1,3,6,62,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 07:00,2013,1,3,7,59,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 08:00,2013,1,3,8,61,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 09:00,2013,1,3,9,68,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 10:00,2013,1,3,10,69,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 11:00,2013,1,3,11,67,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 12:00,2013,1,3,12,67,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 13:00,2013,1,3,13,57,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 14:00,2013,1,3,14,68,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 15:00,2013,1,3,15,70,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 16:00,2013,1,3,16,75,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 17:00,2013,1,3,17,75,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 18:00,2013,1,3,18,72,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 19:00,2013,1,3,19,78,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 20:00,2013,1,3,20,69,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 21:00,2013,1,3,21,94,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 22:00,2013,1,3,22,100,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-03 23:00,2013,1,3,23,99,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 00:00,2013,1,4,0,89,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 01:00,2013,1,4,1,96,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 02:00,2013,1,4,2,94,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 03:00,2013,1,4,3,100,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 04:00,2013,1,4,4,96,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 05:00,2013,1,4,5,95,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 06:00,2013,1,4,6,101,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 07:00,2013,1,4,7,100,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 08:00,2013,1,4,8,103,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 09:00,2013,1,4,9,118,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 10:00,2013,1,4,10,128,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 11:00,2013,1,4,11,140,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 12:00,2013,1,4,12,149,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 13:00,2013,1,4,13,146,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 14:00,2013,1,4,14,140,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 15:00,2013,1,4,15,158,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 16:00,2013,1,4,16,131,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 17:00,2013,1,4,17,117,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 18:00,2013,1,4,18,100,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 19:00,2013,1,4,19,73,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 20:00,2013,1,4,20,66,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 21:00,2013,1,4,21,64,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 22:00,2013,1,4,22,65,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-04 23:00,2013,1,4,23,62,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-05 00:00,2013,1,5,0,58,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-05 01:00,2013,1,5,1,62,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-05 02:00,2013,1,5,2,60,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-05 03:00,2013,1,5,3,80,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-05 04:00,2013,1,5,4,105,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-05 05:00,2013,1,5,5,92,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-05 06:00,2013,1,5,6,58,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-05 07:00,2013,1,5,7,72,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-05 08:00,2013,1,5,8,96,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-05 09:00,2013,1,5,9,103,µg/m³,1 Hr,Valid
Chengdu,PM2.5,2013-01-05 10:00,2013,1,5,10,133,µg/m³,1 Hr,Valid
