A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/3.html.
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/3.html applies to these and all data available from the Mission China air quality monitoring program.

Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Guangzhou,PM2.5,2013-01-01 00:00,2013,1,1,0,83,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 01:00,2013,1,1,1,95,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 02:00,2013,1,1,2,94,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 03:00,2013,1,1,3,55,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 04:00,2013,1,1,4,60,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 05:00,2013,1,1,5,41,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 06:00,2013,1,1,6,42,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 07:00,2013,1,1,7,40,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 08:00,2013,1,1,8,40,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 09:00,2013,1,1,9,35,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 10:00,2013,1,1,10,42,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 11:00,2013,1,1,11,48,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 12:00,2013,1,1,12,63,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 13:00,2013,1,1,13,62,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 14:00,2013,1,1,14,51,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 15:00,2013,1,1,15,49,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 16:00,2013,1,1,16,57,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 17:00,2013,1,1,17,60,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 18:00,2013,1,1,18,61,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 19:00,2013,1,1,19,72,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 20:00,2013,1,1,20,53,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 21:00,2013,1,1,21,50,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 22:00,2013,1,1,22,54,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-01 23:00,2013,1,1,23,63,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-02 00:00,2013,1,2,0,55,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-02 01:00,2013,1,2,1,51,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-02 02:00,2013,1,2,2,66,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-02 03:00,2013,1,2,3,65,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-02 04:00,2013,1,2,4,63,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-02 05:00,2013,1,2,5,59,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-02 06:00,2013,1,2,6,68,µg/m³,1 Hr,Valid
