A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.

Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,2013-01-01 00:00,2013,1,1,0,70,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 01:00,2013,1,1,1,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 02:00,2013,1,1,2,72,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 03:00,2013,1,1,3,78,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 04:00,2013,1,1,4,77,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 05:00,2013,1,1,5,78,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 06:00,2013,1,1,6,77,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 07:00,2013,1,1,7,80,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 08:00,2013,1,1,8,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 09:00,2013,1,1,9,74,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 10:00,2013,1,1,10,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 11:00,2013,1,1,11,66,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 12:00,2013,1,1,12,58,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 13:00,2013,1,1,13,50,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 14:00,2013,1,1,14,48,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 15:00,2013,1,1,15,49,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 16:00,2013,1,1,16,54,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 17:00,2013,1,1,17,61,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 18:00,2013,1,1,18,60,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 19:00,2013,1,1,19,101,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 20:00,2013,1,1,20,118,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 21:00,2013,1,1,21,125,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 22:00,2013,1,1,22,136,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-01 23:00,2013,1,1,23,114,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-02 00:00,2013,1,2,0,91,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-02 01:00,2013,1,2,1,99,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-02 02:00,2013,1,2,2,89,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-02 03:00,2013,1,2,3,80,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-02 04:00,2013,1,2,4,81,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-02 05:00,2013,1,2,5,81,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-02 06:00,2013,1,2,6,90,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-02 07:00,2013,1,2,7,78,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-02 08:00,2013,1,2,8,92,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-02 09:00,2013,1,2,9,112,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-02 10:00,2013,1,2,10,97,µg/m³,1 Hr,Valid
