A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/5.html.
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/5.html applies to these and all data available from the Mission China air quality monitoring program.

Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shenyang,PM2.5,2014-01-01 00:00,2014,1,1,0,16,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 01:00,2014,1,1,1,18,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 02:00,2014,1,1,2,28,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 03:00,2014,1,1,3,31,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 04:00,2014,1,1,4,21,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 05:00,2014,1,1,5,31,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 06:00,2014,1,1,6,31,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 07:00,2014,1,1,7,36,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 08:00,2014,1,1,8,40,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 09:00,2014,1,1,9,72,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 10:00,2014,1,1,10,78,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 11:00,2014,1,1,11,104,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 12:00,2014,1,1,12,33,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 13:00,2014,1,1,13,14,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 14:00,2014,1,1,14,27,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 15:00,2014,1,1,15,19,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 16:00,2014,1,1,16,31,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 17:00,2014,1,1,17,28,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 18:00,2014,1,1,18,28,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 19:00,2014,1,1,19,33,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 20:00,2014,1,1,20,32,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 21:00,2014,1,1,21,32,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 22:00,2014,1,1,22,24,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-01 23:00,2014,1,1,23,23,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 00:00,2014,1,2,0,21,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 01:00,2014,1,2,1,23,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 02:00,2014,1,2,2,26,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 03:00,2014,1,2,3,27,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 04:00,2014,1,2,4,27,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 05:00,2014,1,2,5,32,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 06:00,2014,1,2,6,43,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 07:00,2014,1,2,7,-999,µg/m³,1 Hr,Missing
Shenyang,PM2.5,2014-01-02 08:00,2014,1,2,8,108,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 09:00,2014,1,2,9,69,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 10:00,2014,1,2,10,66,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 11:00,2014,1,2,11,39,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 12:00,2014,1,2,12,35,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 13:00,2014,1,2,13,48,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 14:00,2014,1,2,14,68,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 15:00,2014,1,2,15,51,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 16:00,2014,1,2,16,66,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 17:00,2014,1,2,17,53,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 18:00,2014,1,2,18,44,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 19:00,2014,1,2,19,44,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 20:00,2014,1,2,20,48,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 21:00,2014,1,2,21,67,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 22:00,2014,1,2,22,76,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-02 23:00,2014,1,2,23,97,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 00:00,2014,1,3,0,69,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 01:00,2014,1,3,1,51,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 02:00,2014,1,3,2,55,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 03:00,2014,1,3,3,41,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 04:00,2014,1,3,4,29,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 05:00,2014,1,3,5,32,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 06:00,2014,1,3,6,32,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 07:00,2014,1,3,7,33,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 08:00,2014,1,3,8,23,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 09:00,2014,1,3,9,24,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 10:00,2014,1,3,10,24,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 11:00,2014,1,3,11,35,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 12:00,2014,1,3,12,30,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 13:00,2014,1,3,13,37,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 14:00,2014,1,3,14,45,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 15:00,2014,1,3,15,40,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 16:00,2014,1,3,16,61,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 17:00,2014,1,3,17,58,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 18:00,2014,1,3,18,63,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 19:00,2014,1,3,19,49,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 20:00,2014,1,3,20,60,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 21:00,2014,1,3,21,47,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 22:00,2014,1,3,22,65,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-03 23:00,2014,1,3,23,64,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 00:00,2014,1,4,0,57,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 01:00,2014,1,4,1,64,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 02:00,2014,1,4,2,112,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 03:00,2014,1,4,3,119,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 04:00,2014,1,4,4,190,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 05:00,2014,1,4,5,231,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 06:00,2014,1,4,6,174,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 07:00,2014,1,4,7,188,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 08:00,2014,1,4,8,236,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 09:00,2014,1,4,9,253,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 10:00,2014,1,4,10,279,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 11:00,2014,1,4,11,222,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 12:00,2014,1,4,12,133,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 13:00,2014,1,4,13,63,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 14:00,2014,1,4,14,66,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 15:00,2014,1,4,15,57,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 16:00,2014,1,4,16,41,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 17:00,2014,1,4,17,47,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 18:00,2014,1,4,18,84,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 19:00,2014,1,4,19,96,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 20:00,2014,1,4,20,103,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 21:00,2014,1,4,21,123,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 22:00,2014,1,4,22,148,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-04 23:00,2014,1,4,23,186,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-05 00:00,2014,1,5,0,173,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-05 01:00,2014,1,5,1,154,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-05 02:00,2014,1,5,2,149,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-05 03:00,2014,1,5,3,165,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-05 04:00,2014,1,5,4,114,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-05 05:00,2014,1,5,5,93,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-05 06:00,2014,1,5,6,71,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-05 07:00,2014,1,5,7,68,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-05 08:00,2014,1,5,8,68,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2014-01-05 09:00,2014,1,5,9,109,µg/m³,1 Hr,Valid
